Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,ace-sweatpant-true-black,Ace Sweatpant - True Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21060625858673</variant></size><size instock=""true""><string>M</string><variant>21060625891441</variant></size><size instock=""true""><string>L</string><variant>21060625924209</variant></size><size instock=""true""><string>XL</string><variant>21060625956977</variant></size><size instock=""true""><string>XXL</string><variant>21060625989745</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=21060625858673,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/AcePant_TrueBlack_Front.png?v=1603747797,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ace-sweatpant-true-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/AcePant_TrueBlack_Back.png?v=1603747797,2
,ace-sweatpant-charcoal-heather,Ace Sweatpant - Charcoal Heather,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21060625694833</variant></size><size instock=""true""><string>M</string><variant>21060625727601</variant></size><size instock=""true""><string>L</string><variant>21060625760369</variant></size><size instock=""true""><string>XL</string><variant>21060625793137</variant></size><size instock=""true""><string>XXL</string><variant>21060625825905</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=21060625694833,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/AcePant_CharcoalHeather_Front.png?v=1603747797,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ace-sweatpant-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/AcePant_CharcoalHeather_Back.png?v=1603747797,2
,ace-sweatpant-grey-heather,Ace Sweatpant - Grey Heather,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21060625137777</variant></size><size instock=""true""><string>M</string><variant>21060625203313</variant></size><size instock=""true""><string>L</string><variant>21060625236081</variant></size><size instock=""true""><string>XL</string><variant>21060625268849</variant></size><size instock=""true""><string>XXL</string><variant>21060625301617</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=21060625137777,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/Sweatpants_HeatherGrey_Front.png?v=1603747797,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ace-sweatpant-grey-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/Sweatpants_HeatherGrey_Back.png?v=1603747797,2
,ace-sweatpant-black-plum,Ace Sweatpant - Black Plum,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""false""><string>S</string><variant>32130617147505</variant></size><size instock=""true""><string>M</string><variant>32130617180273</variant></size><size instock=""true""><string>L</string><variant>32130617213041</variant></size><size instock=""true""><string>XL</string><variant>32130617245809</variant></size><size instock=""true""><string>XXL</string><variant>32130617278577</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=32130617147505,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/M01K02-BP_Front_662b1cbd-3ed5-4e18-947c-33661ee370e3.png?v=1604441153,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ace-sweatpant-black-plum,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/M01K02-BP_Back_4b0e3b90-fc4a-4e3e-8d85-125261f966bc.png?v=1604441153,2
,ace-sweatpant-total-eclipse,Ace Sweatpant - Total Eclipse,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21060625334385</variant></size><size instock=""true""><string>M</string><variant>21060625367153</variant></size><size instock=""true""><string>L</string><variant>21060625399921</variant></size><size instock=""true""><string>XL</string><variant>21060625432689</variant></size><size instock=""true""><string>XXL</string><variant>21060625498225</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=21060625334385,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/Sweatpants_TotalEclipse_Front.png?v=1603747797,1,,FALSE,,,,,,,,,,,,,,,,,,,
,ace-sweatpant-total-eclipse,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/Sweatpants_TotalEclipse_Back.png?v=1603747797,2
,ace-sweatpant-dark-forest,Ace Sweatpant - Dark Forest,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Your favorite sweatpants get a modern upgrade from micro sanded french terry and smart details Also available in tall sizes</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on orders over $50 and loyalty perks</sectionBody></section><sizes><size instock=""false""><string>S</string><variant>32130617311345</variant></size><size instock=""false""><string>M</string><variant>32130617344113</variant></size><size instock=""false""><string>L</string><variant>32130617376881</variant></size><size instock=""false""><string>XL</string><variant>32130617409649</variant></size><size instock=""true""><string>XXL</string><variant>32130617442417</variant></size></sizes></sections>",Mack Weldon-men,bottoms,"industry:Apparel, mack-weldon, bestsellers, -badge-staff-pick, active, cold-weather, color-black, color-blue, color-brown, color-green, color-grey, color-red, color-white, everyday, filter-color-black, filter-color-blue, filter-color-brown, filter-color-green, filter-color-grey, filter-color-red, filter-color-white, filter-fabric-ace, filter-size-large, filter-size-medium, filter-size-small, filter-size-xl, filter-size-xxl, gender-male, lounge, mack-weldon-sweatpants, pants, sweat-pants, sweats, ycrf-pants, ygroup-ace-sweatpant, bottoms",,Title,Default Title,Link,https://mackweldon.com/products/ace-sweatpant?variant=32130617311345,,,,454,,deny,manual,78.00,,True,True,,https://cdn.shopify.com/s/files/1/0078/6825/2273/products/AcePant_DarkForest_Front.png?v=1604441153,1,,FALSE,,,,,,,,,,,,,,,,,,,
