Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,blanketblend-hoodie-men-nuderose,BlanketBlend Hoodie Men - NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594508845121</variant></size><size instock=""true""><string>M</string><variant>31594509107265</variant></size><size instock=""true""><string>L</string><variant>31594509369409</variant></size><size instock=""true""><string>XL</string><variant>31594509631553</variant></size><size instock=""true""><string>XXL</string><variant>31594509893697</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594508845121,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0013_011e99fc-7aac-4e90-b268-f7bf10d8c993.jpg?v=1588120654,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-oatmilk,BlanketBlend Hoodie Men - Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594508877889</variant></size><size instock=""true""><string>M</string><variant>31594509140033</variant></size><size instock=""true""><string>L</string><variant>31594509402177</variant></size><size instock=""true""><string>XL</string><variant>31594509664321</variant></size><size instock=""true""><string>XXL</string><variant>31594509926465</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594508877889,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0010_0fd909f5-0bd4-4140-8231-9f4a40e9967a.jpg?v=1588120693,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-moss,BlanketBlend Hoodie Men - Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594508910657</variant></size><size instock=""true""><string>M</string><variant>31594509172801</variant></size><size instock=""true""><string>L</string><variant>31594509434945</variant></size><size instock=""true""><string>XL</string><variant>31594509697089</variant></size><size instock=""true""><string>XXL</string><variant>31594509959233</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594508910657,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0009_35c0ac82-baf2-465c-ba25-520153365642.jpg?v=1588120688,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-burrblue,BlanketBlend Hoodie Men - BurrBlue,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594508943425</variant></size><size instock=""true""><string>M</string><variant>31594509205569</variant></size><size instock=""true""><string>L</string><variant>31594509467713</variant></size><size instock=""true""><string>XL</string><variant>31594509729857</variant></size><size instock=""true""><string>XXL</string><variant>31594509992001</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594508943425,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0012_07f14c89-8fae-4097-b59f-cab717f2f733.jpg?v=1588120682,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-hazyblack,BlanketBlend Hoodie Men - HazyBlack,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594508976193</variant></size><size instock=""true""><string>M</string><variant>31594509238337</variant></size><size instock=""true""><string>L</string><variant>31594509500481</variant></size><size instock=""true""><string>XL</string><variant>31594509762625</variant></size><size instock=""true""><string>XXL</string><variant>31594510024769</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594508976193,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0008_a7dc24c8-7f67-47ea-8c89-a260077e207a.jpg?v=1588120678,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-sapphire,BlanketBlend Hoodie Men - Sapphire,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594509008961</variant></size><size instock=""true""><string>M</string><variant>31594509271105</variant></size><size instock=""true""><string>L</string><variant>31594509533249</variant></size><size instock=""true""><string>XL</string><variant>31594509795393</variant></size><size instock=""true""><string>XXL</string><variant>31594510057537</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594509008961,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0005_fad26100-c1c0-4928-baaa-ffcd6f25ecc2.jpg?v=1588120669,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-riflegreen,BlanketBlend Hoodie Men - RifleGreen,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31594509041729</variant></size><size instock=""true""><string>M</string><variant>31594509303873</variant></size><size instock=""true""><string>L</string><variant>31594509566017</variant></size><size instock=""true""><string>XL</string><variant>31594509828161</variant></size><size instock=""true""><string>XXL</string><variant>31594510090305</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594509041729,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0011_2ee84bdb-7013-4048-9f1d-b7d421e0aba8.jpg?v=1588120664,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-hoodie-men-brick,BlanketBlend Hoodie Men - Brick,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion ButterWashed to maximize softness wash after wash Premium Cotton for a Super Soft Feel Pulled Polyester Cotton for a Fluffy Outside amp Moisture Management Combed Cotton for a Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>M</string><variant>31594509336641</variant></size><size instock=""true""><string>L</string><variant>31594509598785</variant></size><size instock=""true""><string>XL</string><variant>31594509860929</variant></size><size instock=""true""><string>XXL</string><variant>31594510123073</variant></size></sizes></sections>",Feat-men,men,"feat-socks, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanket, blanketblend, brick, hoodie, hoodies, l, large, m, medium, s, small, soft, white, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-men?variant=31594509336641,,,,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/FEAT_2020_04_0020_90f26949-25e6-4c13-b09d-a5147af61238.jpg?v=1588120659,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-3-pack-men-burrblue-moss-nuderose,BlanketBlend 3 Pack - Men - BurrBlue/Moss/NudeRose,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31799796334657</variant></size><size instock=""true""><string>M</string><variant>31799796498497</variant></size><size instock=""true""><string>L</string><variant>31799796695105</variant></size><size instock=""true""><string>XL</string><variant>31799796858945</variant></size><size instock=""true""><string>XXL</string><variant>31799797022785</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanketblend, bundle",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-3-pack-men?variant=31799796334657,,,,0,,deny,manual,289.00,354.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/3_Pack_1_545d1c1b-7daf-4943-9b52-48f4b529d09b.jpg?v=1589285536,1,,FALSE,,,,,,,,,,,,,,,,,,,
,blanketblend-3-pack-men-hazyblack-nuderose-oatmilk,BlanketBlend 3 Pack - Men - HazyBlack/NudeRose/Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket Breathable Warm BlanketBlend Fabric</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>31799796367425</variant></size><size instock=""true""><string>M</string><variant>31799796531265</variant></size><size instock=""true""><string>L</string><variant>31799796727873</variant></size><size instock=""true""><string>XL</string><variant>31799796891713</variant></size><size instock=""true""><string>XXL</string><variant>31799797055553</variant></size></sizes></sections>",Feat-men,men,"feat, blanketblend, -tab1-blanketblend-size-guide, -tab2-blanketblend-fabric, basics, blanketblend, bundle",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-3-pack-men?variant=31799796367425,,,,0,,deny,manual,289.00,354.00,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/3_Pack_5_eb8f90d0-3ab1-4af0-8485-ecc5ab9b56f9.jpg?v=1589285515,1,,FALSE,,,,,,,,,,,,,,,,,,,
